symbol,avg_high,avg_low,avg_amplitude,max_high,max_amplitude,std_amplitude,range_high,range_low,num_records
NVR,5858.855861772665,5714.170423278606,144.68543849405899,9964.76953125,743.7998046875,70.0615556551027,7628.76953125,7750.989990234375,1507
BKNG,3004.4762589628185,2930.8923106827942,73.58394828002487,5818.242674964173,554.6014534568803,43.57948990262793,4611.842434437982,4597.775470696653,1507
AZO,2365.101925754357,2316.130149026224,48.97177672813329,4388.10986328125,274.39013671875,29.225837049681417,3646.2398681640625,3631.7702026367188,1507
600519,1591.590541494997,1556.755785756327,34.83475573866981,2627.88,229.81999999999994,22.238562128444574,2026.2200000000003,1902.98,1699
MTD,1258.4523086193467,1226.813556268663,31.638752350683788,1714.75,129.2099609375,15.45752440091733,1069.1799926757812,1117.5,1507
FICO,927.0049962965795,899.8928137806447,27.11218251593475,2402.52001953125,374.9100341796875,28.588013829585442,2168.1900177001953,2183.7101135253906,1507
688169,487.4015157894737,462.3378035087719,25.063712280701754,1494.99,205.0,25.878308487008898,1348.55,1277.1100000000001,1425
MPWR,512.3461771883066,493.03173558055636,19.314441607750133,1121.4832434243672,117.52327400548774,12.793663231235753,985.3096139500641,967.4314496270403,1507
300896,417.30020392156865,398.3524549019608,18.947749019607844,1331.02,192.76999999999998,18.876314974367183,1195.26,1036.55,1275
TDG,770.1438007982931,752.2056426612963,17.938158136996677,1519.3572813649791,108.55561811736243,11.341486690201116,1284.4185916538277,1332.8688905744818,1507
688256,301.37895094339626,283.89358490566036,17.48536603773585,1595.88,207.0,25.196827331689953,1545.7800000000002,1446.41,1325
REGN,692.7962624205213,675.5516936537779,17.244568766743466,1204.5195893664377,80.84162424129602,8.622546930079034,868.8114662666887,864.2070555196037,1507
EQIX,721.7864121765966,705.2728158788327,16.513596297763833,971.744253355156,95.47562657066646,8.293228010357952,517.2184121783258,528.8007692427218,1507
GEV,382.98985060919944,367.2845533011272,15.705297308072186,730.462131188948,80.85044178716839,10.575905678689992,602.6790911659774,566.054946972215,442
688111,299.76261600538,284.5176260928043,15.244989912575658,530.5,81.55000000000001,9.356644941219667,396.24,366.11,1487
BLK,739.2944651220547,724.3675380149726,14.926927107082115,1214.0307049830408,104.20125552736215,8.145978797025736,904.9196151635867,889.9703233897765,1507
688617,332.60055417700585,317.7438709677419,14.856683209263855,569.0,78.02000000000004,8.4720173950771,417.24,403.26,1209
